Diffusion.Coefficient;example.distribution
       0;0,000000e+00
   10000;0,000000e+00
   20000;0,000000e+00
   30000;0,000000e+00
   40000;0,000000e+00
   50000;0,000000e+00
   60000;0,000000e+00
   70000;0,000000e+00
   80000;0,000000e+00
   90000;0,000000e+00
  100000;0,000000e+00
  110000;0,000000e+00
  120000;0,000000e+00
  130000;0,000000e+00
  140000;0,000000e+00
  150000;0,000000e+00
  160000;0,000000e+00
  170000;0,000000e+00
  180000;0,000000e+00
  190000;0,000000e+00
  200000;0,000000e+00
  210000;0,000000e+00
  220000;0,000000e+00
  230000;0,000000e+00
  240000;0,000000e+00
  250000;0,000000e+00
  260000;0,000000e+00
  270000;0,000000e+00
  280000;0,000000e+00
  290000;0,000000e+00
  300000;0,000000e+00
  310000;0,000000e+00
  320000;0,000000e+00
  330000;0,000000e+00
  340000;0,000000e+00
  350000;0,000000e+00
  360000;0,000000e+00
  370000;0,000000e+00
  380000;0,000000e+00
  390000;0,000000e+00
  400000;0,000000e+00
  410000;0,000000e+00
  420000;0,000000e+00
  430000;0,000000e+00
  440000;0,000000e+00
  450000;0,000000e+00
  460000;0,000000e+00
  470000;0,000000e+00
  480000;0,000000e+00
  490000;0,000000e+00
  500000;0,000000e+00
  510000;0,000000e+00
  520000;0,000000e+00
  530000;0,000000e+00
  540000;0,000000e+00
  550000;0,000000e+00
  560000;0,000000e+00
  570000;0,000000e+00
  580000;0,000000e+00
  590000;0,000000e+00
  600000;0,000000e+00
  610000;0,000000e+00
  620000;2,278090e-07
  630000;4,556180e-07
  640000;9,112350e-07
  650000;1,822470e-06
  660000;3,189320e-06
  670000;5,239600e-06
  680000;8,428930e-06
  690000;1,321290e-05
  700000;2,004720e-05
  710000;2,938730e-05
  720000;4,168900e-05
  730000;5,763560e-05
  740000;7,768280e-05
  750000;1,018310e-04
  760000;1,305340e-04
  770000;1,635670e-04
  780000;2,009270e-04
  790000;2,421610e-04
  800000;2,870390e-04
  810000;3,353350e-04
  820000;3,868190e-04
  830000;4,412660e-04
  840000;4,989010e-04
  850000;5,599540e-04
  860000;6,246520e-04
  870000;6,939060e-04
  880000;7,683990e-04
  890000;8,488160e-04
  900000;9,367500e-04
  910000;1,033341e-03
  920000;1,140639e-03
  930000;1,260466e-03
  940000;1,395101e-03
  950000;1,547506e-03
  960000;1,720640e-03
  970000;1,917923e-03
  980000;2,142770e-03
  990000;2,398599e-03
 1000000;2,689056e-03
 1010000;3,017784e-03
 1020000;3,387745e-03
 1030000;3,801902e-03
 1040000;4,262759e-03
 1050000;4,772140e-03
 1060000;5,331411e-03
 1070000;5,941255e-03
 1080000;6,601673e-03
 1090000;7,312209e-03
 1100000;8,071723e-03
 1110000;8,879078e-03
 1120000;9,732222e-03
 1130000;1,062911e-02
 1140000;1,156745e-02
 1150000;1,254498e-02
 1160000;1,355918e-02
 1170000;1,460802e-02
 1180000;1,568920e-02
 1190000;1,680090e-02
 1200000;1,794131e-02
 1210000;1,910929e-02
 1220000;2,030415e-02
 1230000;2,152520e-02
 1240000;2,277246e-02
 1250000;2,404614e-02
 1260000;2,534715e-02
 1270000;2,667642e-02
 1280000;2,803530e-02
 1290000;2,942539e-02
 1300000;3,084805e-02
 1310000;3,230512e-02
 1320000;3,379795e-02
 1330000;3,532814e-02
 1340000;3,689683e-02
 1350000;3,850539e-02
 1360000;4,015473e-02
 1370000;4,184575e-02
 1380000;4,357938e-02
 1390000;4,535606e-02
 1400000;4,717694e-02
 1410000;4,904292e-02
 1420000;5,095537e-02
 1430000;5,291590e-02
 1440000;5,492677e-02
 1450000;5,699026e-02
 1460000;5,910956e-02
 1470000;6,128787e-02
 1480000;6,352883e-02
 1490000;6,583608e-02
 1500000;6,821349e-02
 1510000;7,066494e-02
 1520000;7,319362e-02
 1530000;7,580271e-02
 1540000;7,849496e-02
 1550000;8,127218e-02
 1560000;8,413550e-02
 1570000;8,708563e-02
 1580000;9,012187e-02
